"","X","ID","Timepoint","Age_days","Age_weeks","Intervention","Diet","Treatment","Genotype","TreatmentGroup","Cage","Sex","resampled_log_full_det","resampled_log_nlin_det","dependentvariable"
"152",152,"4_001",3,169,24.1428571428571,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",101,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_001_processed/mch_rca_234_001_20181009_112002_131073_mri_lsq6/mch_rca_234_001_20181009_112002_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_001_processed/mch_rca_234_001_20181009_112002_131073_mri_lsq6/mch_rca_234_001_20181009_112002_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.0245799939015
"153",153,"4_003",1,53,7.57142857142857,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",101,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_003_processed/mch_rca_214_003_20180615_115604_131073_mri_lsq6/mch_rca_214_003_20180615_115604_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_003_processed/mch_rca_214_003_20180615_115604_131073_mri_lsq6/mch_rca_214_003_20180615_115604_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.04753003803091
"154",154,"4_003",2,114,16.2857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",101,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_003_processed/mch_rca224_003_20180815_152645_131073_mri_lsq6/mch_rca224_003_20180815_152645_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_003_processed/mch_rca224_003_20180815_152645_131073_mri_lsq6/mch_rca224_003_20180815_152645_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.03128503384821
"155",155,"4_003",3,169,24.1428571428571,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",101,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_003_processed/mch_rca_234_003_20181009_115709_131073_mri_lsq6/mch_rca_234_003_20181009_115709_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_003_processed/mch_rca_234_003_20181009_115709_131073_mri_lsq6/mch_rca_234_003_20181009_115709_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.862708755772904
"156",156,"4_004",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_004_processed/mch_rca_114_004_20180705_155819_131073_mri_lsq6/mch_rca_114_004_20180705_155819_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_004_processed/mch_rca_114_004_20180705_155819_131073_mri_lsq6/mch_rca_114_004_20180705_155819_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.956749257242037
"157",157,"4_004",2,119,17,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_004_processed/mch_rca_124_004_20180905_171228_131073_mri_lsq6/mch_rca_124_004_20180905_171228_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_004_processed/mch_rca_124_004_20180905_171228_131073_mri_lsq6/mch_rca_124_004_20180905_171228_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.08370691347078
"158",158,"4_004",3,182,26,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_004_processed/mch_rca_134_004_20181107_102156_131073_mri_lsq6/mch_rca_134_004_20181107_102156_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_004_processed/mch_rca_134_004_20181107_102156_131073_mri_lsq6/mch_rca_134_004_20181107_102156_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.918135014649281
"159",159,"4_005",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca_114_005_20180705_161737_131073_mri_lsq6/mch_rca_114_005_20180705_161737_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca_114_005_20180705_161737_131073_mri_lsq6/mch_rca_114_005_20180705_161737_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.825243671613967
"160",160,"4_005",2,119,17,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca124_005_20180905_165643_131073_mri_lsq6/mch_rca124_005_20180905_165643_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca124_005_20180905_165643_131073_mri_lsq6/mch_rca124_005_20180905_165643_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.09050825089406
"161",161,"4_005",3,182,26,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca_134_005_20181107_104019_131073_mri_lsq6/mch_rca_134_005_20181107_104019_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca_134_005_20181107_104019_131073_mri_lsq6/mch_rca_134_005_20181107_104019_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02498731479677
"162",162,"4_006",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_114_006_20180705_163832_131073_mri_lsq6/mch_rca_114_006_20180705_163832_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_114_006_20180705_163832_131073_mri_lsq6/mch_rca_114_006_20180705_163832_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.91484843250655
"163",163,"4_006",2,119,17,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_124_006_20180905_173057_131073_mri_lsq6/mch_rca_124_006_20180905_173057_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_124_006_20180905_173057_131073_mri_lsq6/mch_rca_124_006_20180905_173057_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.943415541110321
"164",164,"4_007",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_114_007_20180719_123901_131073_mri_lsq6/mch_rca_114_007_20180719_123901_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_114_007_20180719_123901_131073_mri_lsq6/mch_rca_114_007_20180719_123901_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.977386731620495
"165",165,"4_007",2,105,15,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_124_007_20180905_143441_131073_mri_lsq6/mch_rca_124_007_20180905_143441_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_124_007_20180905_143441_131073_mri_lsq6/mch_rca_124_007_20180905_143441_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.03860075765484
"166",166,"4_008",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_114_008_20180719_130008_131073_mri_lsq6/mch_rca_114_008_20180719_130008_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_114_008_20180719_130008_131073_mri_lsq6/mch_rca_114_008_20180719_130008_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.12927198280686
"167",167,"4_008",2,105,15,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_124_008_20180905_145626_131073_mri_lsq6/mch_rca_124_008_20180905_145626_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_124_008_20180905_145626_131073_mri_lsq6/mch_rca_124_008_20180905_145626_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.850613254366721
"168",168,"4_009",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_114_009_20180719_132046_131073_mri_lsq6/mch_rca_114_009_20180719_132046_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_114_009_20180719_132046_131073_mri_lsq6/mch_rca_114_009_20180719_132046_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.976197211289031
